1	0.11791207791025758	7773
0	0.09459664451928036	6236
2	0.08972725342070932	5915
9	0.07431509966323838	4899
3	0.06395437031643457	4216
8	0.058538879281575196	3859
5	0.055596007402688025	3665
4	0.05278966050787294	3480
6	0.050832802402839716	3351
7	0.05036254967992476	3320
a	0.04009283698916902	2643
e	0.024104244410060375	1589
o	0.022966536209459664	1514
i	0.022010861320955068	1451
r	0.020418069840114073	1346
n	0.01808197566821395	1192
l	0.01620096477655411	1068
s	0.014380631655592974	948
m	0.01098267649646552	724
d	0.010800643184369406	712
c	0.010633779314947968	701
t	0.010436576560177178	688
u	0.008221837929674463	542
g	0.005855404872424987	386
b	0.005552016018931465	366
p	0.005460999362883408	360
v	0.0046721883438002485	308
h	0.004657018901125572	307
f	0.004338460604957374	286
j	0.0035041412578501866	231
A	0.0032765996177300445	216
k	0.0022299080731773913	147
z	0.0016231303661903462	107
y	0.00160796092351567	106
E	0.001501774824792937	99
R	0.0014562664967689087	96
I	0.001365249840720852	90
O	0.0013349109553714997	88
x	0.0011680470859500621	77
N	0.0011680470859500621	77
q	0.0011073693152513578	73
L	0.0010921998725766816	72
S	0.0010770304299020054	71
w	0.0009708443311792725	64
M	0.0007736415764084827	51
D	0.0007433026910591305	49
C	0.000697794363035102	46
T	0.0006371165923363976	42
B	0.0004247443948909317	28
P	0.00039440550954157946	26
F	0.0003792360668669033	25
V	0.0003792360668669033	25
G	0.00036406662419222717	24
J	0.00033372773884287493	22
U	0.00030338885349352263	20
H	0.0002730499681441704	18
@	0.0002730499681441704	18
.	0.00019720275477078973	13
Y	0.00012135554139740906	8
W	0.00012135554139740906	8
!	0.00010618609872273293	7
X	9.101665604805679e-05	6
Q	7.584721337338066e-05	5
Z	6.067777069870453e-05	4
$	4.5508328024028396e-05	3
K	4.5508328024028396e-05	3
/	3.0338885349352265e-05	2
_	3.0338885349352265e-05	2
'	3.0338885349352265e-05	2
#	3.0338885349352265e-05	2
,	1.5169442674676133e-05	1
-	1.5169442674676133e-05	1
%	1.5169442674676133e-05	1
*	1.5169442674676133e-05	1
